freeCharge_average,Points:0,Points:1,Points:2
2.64168e-05,0.001,-7.64e-05,3.35e-05
2.66294e-05,0.001,-7.62e-05,3.35e-05
2.6842e-05,0.001,-7.6e-05,3.35e-05
2.70546e-05,0.001,-7.58e-05,3.35e-05
2.72672e-05,0.001,-7.56e-05,3.35e-05
2.74798e-05,0.001,-7.54e-05,3.35e-05
2.76924e-05,0.001,-7.52e-05,3.35e-05
2.7905e-05,0.001,-7.5e-05,3.35e-05
2.81176e-05,0.001,-7.48e-05,3.35e-05
2.83302e-05,0.001,-7.46e-05,3.35e-05
2.85969e-05,0.001,-7.44e-05,3.35e-05
2.88719e-05,0.001,-7.42e-05,3.35e-05
2.9147e-05,0.001,-7.4e-05,3.35e-05
2.9422e-05,0.001,-7.38e-05,3.35e-05
2.96971e-05,0.001,-7.36e-05,3.35e-05
2.99721e-05,0.001,-7.34e-05,3.35e-05
3.02472e-05,0.001,-7.32e-05,3.35e-05
3.05222e-05,0.001,-7.3e-05,3.35e-05
3.07973e-05,0.001,-7.28e-05,3.35e-05
3.10723e-05,0.001,-7.26e-05,3.35e-05
3.13474e-05,0.001,-7.24e-05,3.35e-05
3.16224e-05,0.001,-7.22e-05,3.35e-05
3.18974e-05,0.001,-7.2e-05,3.35e-05
3.21725e-05,0.001,-7.18e-05,3.35e-05
3.24475e-05,0.001,-7.16e-05,3.35e-05
3.27226e-05,0.001,-7.14e-05,3.35e-05
3.29985e-05,0.001,-7.12e-05,3.35e-05
3.33681e-05,0.001,-7.1e-05,3.35e-05
3.37377e-05,0.001,-7.08e-05,3.35e-05
3.41072e-05,0.001,-7.06e-05,3.35e-05
3.44768e-05,0.001,-7.04e-05,3.35e-05
3.48464e-05,0.001,-7.02e-05,3.35e-05
3.5216e-05,0.001,-7e-05,3.35e-05
3.55855e-05,0.001,-6.98e-05,3.35e-05
3.59551e-05,0.001,-6.96e-05,3.35e-05
3.63247e-05,0.001,-6.94e-05,3.35e-05
3.66943e-05,0.001,-6.92e-05,3.35e-05
3.70638e-05,0.001,-6.9e-05,3.35e-05
3.74334e-05,0.001,-6.88e-05,3.35e-05
3.7803e-05,0.001,-6.86e-05,3.35e-05
3.81726e-05,0.001,-6.84e-05,3.35e-05
3.85421e-05,0.001,-6.82e-05,3.35e-05
3.89117e-05,0.001,-6.8e-05,3.35e-05
3.92813e-05,0.001,-6.78e-05,3.35e-05
3.96509e-05,0.001,-6.76e-05,3.35e-05
4.00204e-05,0.001,-6.74e-05,3.35e-05
4.05176e-05,0.001,-6.72e-05,3.35e-05
4.10261e-05,0.001,-6.7e-05,3.35e-05
4.15346e-05,0.001,-6.68e-05,3.35e-05
4.20431e-05,0.001,-6.66e-05,3.35e-05
4.25516e-05,0.001,-6.64e-05,3.35e-05
4.30601e-05,0.001,-6.62e-05,3.35e-05
4.35686e-05,0.001,-6.6e-05,3.35e-05
4.40771e-05,0.001,-6.58e-05,3.35e-05
4.45856e-05,0.001,-6.56e-05,3.35e-05
4.50941e-05,0.001,-6.54e-05,3.35e-05
4.56026e-05,0.001,-6.52e-05,3.35e-05
4.61111e-05,0.001,-6.5e-05,3.35e-05
4.66196e-05,0.001,-6.48e-05,3.35e-05
4.71281e-05,0.001,-6.46e-05,3.35e-05
4.76365e-05,0.001,-6.44e-05,3.35e-05
4.8145e-05,0.001,-6.42e-05,3.35e-05
4.86535e-05,0.001,-6.4e-05,3.35e-05
4.9162e-05,0.001,-6.38e-05,3.35e-05
4.96705e-05,0.001,-6.36e-05,3.35e-05
5.0179e-05,0.001,-6.34e-05,3.35e-05
5.06875e-05,0.001,-6.32e-05,3.35e-05
5.12632e-05,0.001,-6.3e-05,3.35e-05
5.19975e-05,0.001,-6.28e-05,3.35e-05
5.27317e-05,0.001,-6.26e-05,3.35e-05
5.34659e-05,0.001,-6.24e-05,3.35e-05
5.42001e-05,0.001,-6.22e-05,3.35e-05
5.49344e-05,0.001,-6.2e-05,3.35e-05
5.56686e-05,0.001,-6.18e-05,3.35e-05
5.64028e-05,0.001,-6.16e-05,3.35e-05
5.71371e-05,0.001,-6.14e-05,3.35e-05
5.78713e-05,0.001,-6.12e-05,3.35e-05
5.86055e-05,0.001,-6.1e-05,3.35e-05
5.93397e-05,0.001,-6.08e-05,3.35e-05
6.0074e-05,0.001,-6.06e-05,3.35e-05
6.08082e-05,0.001,-6.04e-05,3.35e-05
6.15424e-05,0.001,-6.02e-05,3.35e-05
6.22767e-05,0.001,-6e-05,3.35e-05
6.30109e-05,0.001,-5.98e-05,3.35e-05
6.37451e-05,0.001,-5.96e-05,3.35e-05
6.44793e-05,0.001,-5.94e-05,3.35e-05
6.52136e-05,0.001,-5.92e-05,3.35e-05
6.59478e-05,0.001,-5.9e-05,3.35e-05
6.6682e-05,0.001,-5.88e-05,3.35e-05
6.74163e-05,0.001,-5.86e-05,3.35e-05
6.81505e-05,0.001,-5.84e-05,3.35e-05
6.88847e-05,0.001,-5.82e-05,3.35e-05
6.98875e-05,0.001,-5.8e-05,3.35e-05
7.09528e-05,0.001,-5.78e-05,3.35e-05
7.20181e-05,0.001,-5.76e-05,3.35e-05
7.30834e-05,0.001,-5.74e-05,3.35e-05
7.41487e-05,0.001,-5.72e-05,3.35e-05
7.52139e-05,0.001,-5.7e-05,3.35e-05
7.62792e-05,0.001,-5.68e-05,3.35e-05
7.73445e-05,0.001,-5.66e-05,3.35e-05
7.84098e-05,0.001,-5.64e-05,3.35e-05
7.94751e-05,0.001,-5.62e-05,3.35e-05
8.05403e-05,0.001,-5.6e-05,3.35e-05
8.16056e-05,0.001,-5.58e-05,3.35e-05
8.26709e-05,0.001,-5.56e-05,3.35e-05
8.37362e-05,0.001,-5.54e-05,3.35e-05
8.48015e-05,0.001,-5.52e-05,3.35e-05
8.58668e-05,0.001,-5.5e-05,3.35e-05
8.69321e-05,0.001,-5.48e-05,3.35e-05
8.79973e-05,0.001,-5.46e-05,3.35e-05
8.90626e-05,0.001,-5.44e-05,3.35e-05
9.01279e-05,0.001,-5.42e-05,3.35e-05
9.11932e-05,0.001,-5.4e-05,3.35e-05
9.22585e-05,0.001,-5.38e-05,3.35e-05
9.33237e-05,0.001,-5.36e-05,3.35e-05
9.4389e-05,0.001,-5.34e-05,3.35e-05
9.54543e-05,0.001,-5.32e-05,3.35e-05
9.65196e-05,0.001,-5.3e-05,3.35e-05
9.75849e-05,0.001,-5.28e-05,3.35e-05
9.86872e-05,0.001,-5.26e-05,3.35e-05
0.000100219,0.001,-5.24e-05,3.35e-05
0.000101751,0.001,-5.22e-05,3.35e-05
0.000103283,0.001,-5.2e-05,3.35e-05
0.000104815,0.001,-5.18e-05,3.35e-05
0.000106347,0.001,-5.16e-05,3.35e-05
0.000107879,0.001,-5.14e-05,3.35e-05
0.000109411,0.001,-5.12e-05,3.35e-05
0.000110943,0.001,-5.1e-05,3.35e-05
0.000112475,0.001,-5.08e-05,3.35e-05
0.000114008,0.001,-5.06e-05,3.35e-05
0.00011554,0.001,-5.04e-05,3.35e-05
0.000117072,0.001,-5.02e-05,3.35e-05
0.000118604,0.001,-5e-05,3.35e-05
0.000120136,0.001,-4.98e-05,3.35e-05
0.000121668,0.001,-4.96e-05,3.35e-05
0.0001232,0.001,-4.94e-05,3.35e-05
0.000124732,0.001,-4.92e-05,3.35e-05
0.000126264,0.001,-4.9e-05,3.35e-05
0.000127796,0.001,-4.88e-05,3.35e-05
0.000129328,0.001,-4.86e-05,3.35e-05
0.00013086,0.001,-4.84e-05,3.35e-05
0.000132392,0.001,-4.82e-05,3.35e-05
0.000133924,0.001,-4.8e-05,3.35e-05
0.000135456,0.001,-4.78e-05,3.35e-05
0.000136988,0.001,-4.76e-05,3.35e-05
0.00013852,0.001,-4.74e-05,3.35e-05
0.000140052,0.001,-4.72e-05,3.35e-05
0.000141584,0.001,-4.7e-05,3.35e-05
0.000143116,0.001,-4.68e-05,3.35e-05
0.000144648,0.001,-4.66e-05,3.35e-05
0.00014618,0.001,-4.64e-05,3.35e-05
0.000148122,0.001,-4.62e-05,3.35e-05
0.000150264,0.001,-4.6e-05,3.35e-05
0.000152407,0.001,-4.58e-05,3.35e-05
0.000154549,0.001,-4.56e-05,3.35e-05
0.000156691,0.001,-4.54e-05,3.35e-05
0.000158834,0.001,-4.52e-05,3.35e-05
0.000160976,0.001,-4.5e-05,3.35e-05
0.000163118,0.001,-4.48e-05,3.35e-05
